,validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model_params/n_hidden,config/model_params/n_layers,config/model_params/n_latent,config/model_params/gene_likelihood,config/train_params/max_epochs,config/train_params/plan_kwargs/lr,logdir
22,7604.0927734375,1728422760,,True,100,76b9efb0,2024-10-08_21-26-00,6.344606637954712,648.985812664032,12024,ip-12-0-0-75,12.0.0.75,648.985812664032,100,256,2,20,nb,100,0.008081136403528484,76b9efb0
23,7599.5126953125,1728423413,,True,100,94590549,2024-10-08_21-36-53,6.688103914260864,653.0964031219482,12024,ip-12-0-0-75,12.0.0.75,653.0964031219482,100,256,2,40,nb,100,0.0019844362675291312,94590549
24,7911.7646484375,1728423427,,True,2,7726634b,2024-10-08_21-37-07,6.37772274017334,13.383326053619385,12024,ip-12-0-0-75,12.0.0.75,13.383326053619385,2,256,2,40,nb,100,0.004168751856946333,7726634b
25,8775.5830078125,1728423435,,True,1,1de1af59,2024-10-08_21-37-15,7.939204454421997,7.939204454421997,12024,ip-12-0-0-75,12.0.0.75,7.939204454421997,1,256,3,40,nb,100,0.00011647133127430825,1de1af59
26,7547.12353515625,1728424086,,True,100,598a9f34,2024-10-08_21-48-06,6.384275436401367,650.9006378650665,12024,ip-12-0-0-75,12.0.0.75,650.9006378650665,100,256,2,40,nb,100,0.0020354598414601037,598a9f34
27,8454.265625,1728424093,,True,1,9579abb0,2024-10-08_21-48-13,7.275712728500366,7.275712728500366,12024,ip-12-0-0-75,12.0.0.75,7.275712728500366,1,256,2,40,nb,100,0.0004275782298822177,9579abb0
28,7774.271484375,1728424123,,True,4,90483adb,2024-10-08_21-48-43,7.317686080932617,29.403307914733887,12024,ip-12-0-0-75,12.0.0.75,29.403307914733887,4,256,3,40,nb,100,0.002599488703079642,90483adb
29,7931.84814453125,1728424137,,True,2,86cd1ce6,2024-10-08_21-48-57,6.455665349960327,13.775978803634644,12024,ip-12-0-0-75,12.0.0.75,13.775978803634644,2,256,2,40,nb,100,0.003621397698258472,86cd1ce6
30,7642.93212890625,1728424323,,True,32,acf1f49d,2024-10-08_21-52-03,5.7431604862213135,186.79331731796265,12024,ip-12-0-0-75,12.0.0.75,186.79331731796265,32,256,1,40,nb,100,0.0015735034260600635,acf1f49d
31,7757.8916015625,1728424355,,True,4,fd706e49,2024-10-08_21-52-35,7.562990665435791,31.414268493652344,12024,ip-12-0-0-75,12.0.0.75,31.414268493652344,4,256,4,40,nb,100,0.002377111952477665,fd706e49
