total_raw_counts,513563702.000
total_output_counts,505145585.000
total_counts_removed,8418117.000
fraction_counts_removed,0.016
total_raw_counts_in_cells,513563702.000
total_counts_removed_from_cells,8418117.000
fraction_counts_removed_from_cells,0.016
average_counts_removed_per_cell,285.718
target_fpr,0.010
expected_cells,11246.000
found_cells,29463.000
output_average_counts_per_cell,17145.083
ratio_of_found_cells_to_expected_cells,2.620
found_empties,14786.000
fraction_of_analyzed_droplets_that_are_nonempty,0.666
convergence_indicator,0.924
overall_change_in_train_elbo,9374.108
