total_raw_counts,468008623.000
total_output_counts,460565265.000
total_counts_removed,7443358.000
fraction_counts_removed,0.016
total_raw_counts_in_cells,468008623.000
total_counts_removed_from_cells,7443358.000
fraction_counts_removed_from_cells,0.016
average_counts_removed_per_cell,235.229
target_fpr,0.010
expected_cells,10952.000
found_cells,31643.000
output_average_counts_per_cell,14555.044
ratio_of_found_cells_to_expected_cells,2.889
found_empties,12697.000
fraction_of_analyzed_droplets_that_are_nonempty,0.714
convergence_indicator,0.340
overall_change_in_train_elbo,6598.988
