total_raw_counts,1032676445.000
total_output_counts,1016185687.000
total_counts_removed,16490758.000
fraction_counts_removed,0.016
total_raw_counts_in_cells,1032676445.000
total_counts_removed_from_cells,16490758.000
fraction_counts_removed_from_cells,0.016
average_counts_removed_per_cell,496.979
target_fpr,0.010
expected_cells,12280.000
found_cells,33182.000
output_average_counts_per_cell,30624.606
ratio_of_found_cells_to_expected_cells,2.702
found_empties,13964.000
fraction_of_analyzed_droplets_that_are_nonempty,0.704
convergence_indicator,0.222
overall_change_in_train_elbo,17514.460
