total_raw_counts,620271412.000
total_output_counts,610594789.000
total_counts_removed,9676623.000
fraction_counts_removed,0.016
total_raw_counts_in_cells,620271412.000
total_counts_removed_from_cells,9676623.000
fraction_counts_removed_from_cells,0.016
average_counts_removed_per_cell,376.933
target_fpr,0.010
expected_cells,9789.000
found_cells,25672.000
output_average_counts_per_cell,23784.465
ratio_of_found_cells_to_expected_cells,2.623
found_empties,14250.000
fraction_of_analyzed_droplets_that_are_nonempty,0.643
convergence_indicator,1.170
overall_change_in_train_elbo,16289.887
