,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
0,Mrpl15,treat,0.33074128744213216,0.060149249749581836,7.894825386195718e-05,-0.7445306261853502,0.32386540821188275,0.025997400259974
1,Lypla1,treat,0.08111047516594393,0.05807520160261211,0.16368363163683633,0.09606495748286846,0.5662911328939537,0.8432156784321568
2,Tcea1,treat,0.34293862277957715,0.0400275272775664,0.00037449627565085483,0.035427215591820264,0.1897451449223748,0.8540145985401459
3,Atp6v1h,treat,-0.00880873025921433,0.04200041617913921,0.8385161483851615,0.2942794688099989,0.2134613442989595,0.16868313168683133
4,Rb1cc1,treat,0.06018818765156384,0.04003280328595112,0.13308669133086692,0.03616499514603954,0.16823944034306415,0.8301169883011699
5,St18,treat,-0.4984260444919211,0.12220218808185736,0.0005558248832593838,0.39699681008711807,0.19448580708735258,0.0387961203879612
6,Pcmtd1,treat,0.14935501367387988,0.05738612341719747,0.0091990800919908,0.49324047848271735,0.18846451643342085,0.0105989401059894
7,Vcpip1,treat,0.28706931561927207,0.05678061439831203,0.00016006045501545,0.5157494239822181,0.3428998024957734,0.1212878712128787
8,Sgk3,treat,0.037784542982207785,0.048672240075946734,0.43625637436256376,0.06488492090476099,0.24836915256215267,0.7971202879712029
9,Snhg6,treat,0.45746475388318736,0.052382116709165864,0.00032772115444033194,0.1454278801854818,0.19710619211482905,0.45445455454454553
10,Cops5,treat,0.47368372880248316,0.05862459989743301,6.27965651481523e-05,-0.6129543023114634,0.36118366832427296,0.0867913208679132
11,Cspp1,treat,0.2945557902354749,0.07650670619709547,0.0006642300232072053,-0.11521378418642762,0.196236471935421,0.553944605539446
12,Arfgef1,treat,0.19202462562786995,0.04924741579305855,0.00044872146344133155,-0.01566735004607311,0.17279740386666465,0.924907509249075
13,Ncoa2,treat,0.020812732178513798,0.04328928792387539,0.6373362663733627,0.11369439051287047,0.16701870474863334,0.48805119488051196
14,Tram1,treat,0.05558620086990714,0.03545525497539783,0.1171882811718828,0.06528975842166429,0.1765481571120768,0.6988301169883012
15,Lactb2,treat,0.26518999567955687,0.07404058864457955,0.0014039456133380446,0.04640637044962091,0.22952486626048246,0.8347165283471653
16,Terf1,treat,0.0450182599512936,0.0883575465905739,0.6041395860413958,-0.5043974523036493,0.4567677828654111,0.2575742425757424
17,Rpl7,treat,0.19620042477522487,0.020930358309605723,1.225499361373863e-06,-0.5475957692979433,0.059374598319455726,2.0031415685814158e-05
18,Stau2,treat,0.029960939745178987,0.13129427625680348,0.822017798220178,0.2119336575972723,0.4487613144458872,0.629037096290371
19,Ube2w,treat,0.15838685348995804,0.058087750075021934,0.005699430056994301,-0.19905038104313366,0.2485890601268877,0.42045795420457954
20,Eloc,treat,0.4673338237677291,0.03542717056596704,6.371168854197668e-06,-0.8078730714086669,0.22576403868038347,0.0019726509298227356
21,Tmem70,treat,0.20887252422092034,0.09335317825045636,0.025597440255974404,-1.2295046872649011,0.9596088135103058,0.1454854514548545
22,Ly96,treat,0.4973037029074974,0.07951768535010717,0.0004961187957605611,-0.5045486690794355,0.2617304220332435,0.056694330566943306
23,Mcm3,treat,-0.45017378265205793,0.08391945434467116,0.00028384763170340985,0.44575270944191064,0.27593310133371174,0.10388961103889612
24,Tram2,treat,0.38519834939031034,0.10338607114049708,0.00099788305044479,1.2006064097190838,1.0205272360885438,0.1663833616638336
25,Ogfrl1,treat,0.23064994161582253,0.056527846474800005,0.0006161798332224727,0.4779608128905047,0.27284494158963696,0.07949205079492051
26,Smap1,treat,0.3125327599857833,0.03804477645243895,2.7684219422406837e-05,-0.21480068337106067,0.18830909299320397,0.24937506249375063
27,Sdhaf4,treat,0.37463762433702075,0.07771911796537016,0.00031693610726264015,-0.18706343893817304,0.39768080974588516,0.6258374162583742
28,Lmbrd1,treat,-0.04415733066836243,0.03571894701703493,0.21737826217378262,0.35416402732270164,0.20103916171955344,0.07729227077292271
29,Phf3,treat,0.16326801537099944,0.04279641232322874,0.0014340213556324685,-0.5591570317974445,0.17410179305322523,0.0013998600139986002
30,Prim2,treat,0.044621327439444906,0.09547700342730449,0.6341365863413658,0.02786012162244766,0.3078757117773624,0.9267073292670733
31,Zfp451,treat,0.12596554927999357,0.0649488317601781,0.050794920507949204,0.11211077672481469,0.24176843812207166,0.6371362863713629
32,Dst,treat,0.17042714217084884,0.10759990633022243,0.11408859114088592,0.18273976969112168,0.31141827256775256,0.5777422257774223
33,Ccdc115,treat,0.2620664570357127,0.06161490244185007,0.0003899851467463191,1.2698347081028638,0.9343132370638741,0.11178882111788821
