,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
0,Mrpl15,treat,-0.5463665684260917,0.014676574591599292,4.8694398047868496e-09,0.1993102383869048,0.06500840766318876,0.0028997100289971
1,Lypla1,treat,-0.6653192089369403,0.019826585874341576,1.198439777643857e-08,0.2719565359734896,0.22793324431748452,0.2405759424057594
2,Tcea1,treat,-0.5001157321862114,0.010882050877209693,2.154338339171823e-05,0.24496029211210063,0.04276421178438196,0.000678082582113121
3,Rgs20,treat,-0.8503149689274464,0.02490681348157329,2.489321102289083e-05,-0.3697897991938406,0.07267022612684708,0.00022120301100070838
4,Atp6v1h,treat,-0.6767505422262905,0.018135676115398982,2.8237675059447955e-08,-0.17830678753971768,0.07989656371788527,0.026797320267973202
5,Rb1cc1,treat,-0.6686990274845139,0.012203592318719475,1.7617739132447238e-05,0.04304446416990349,0.04833184812699025,0.3712628737126287
6,Pcmtd1,treat,-0.6182017499428624,0.012946467876589578,1.2869703267487458e-08,-0.07114211872552978,0.046816714808689264,0.1297870212978702
7,Rrs1,treat,-0.5281677486212233,0.02221047102258244,5.580188220436602e-06,-0.047644351535823165,0.07315981277550113,0.5136486351364864
8,Vcpip1,treat,-0.6624617349482377,0.016383058069027526,2.4977851922391964e-05,-0.08231105261881579,0.08976881613172046,0.3544645535446455
9,Snhg6,treat,-0.41251722481467146,0.011585452024056876,2.8159181060931157e-05,-0.19737211800676663,0.039238894469972724,0.00011564816087757098
10,Cops5,treat,-0.5873363990182657,0.012584899507378539,2.860279075300692e-05,0.518385176261796,0.0577835136563693,1.3716927324408745e-05
11,Cspp1,treat,-0.5954483056596578,0.013541714298979575,3.062072260980534e-05,-0.20691038391287056,0.0548640839136463,0.0009016653859280502
12,Arfgef1,treat,-0.6833179119106778,0.011431198952744068,1.7805197190974483e-05,-0.05473290294869415,0.04411164123514171,0.21807819218078192
13,Prex2,treat,-0.40661284869529934,0.029371968243360486,1.4813853121725453e-05,-0.46625702906307454,0.07900436795087222,3.48815926104166e-05
14,Sulf1,treat,0.09520878371718955,0.04978562531042297,0.05849415058494151,-0.6621498244382595,0.4852924139237925,0.1972802719728027
15,Slco5a1,treat,-0.5894882930823867,0.036783356948582424,6.249134850457242e-08,0.08688807518368509,0.11876340228170429,0.46255374462553744
16,Ncoa2,treat,-0.6303825144608366,0.012191354831101484,2.2305599533162598e-05,-0.18687327045328914,0.037020414872004276,0.00015730524377290166
17,Tram1,treat,-0.630653553367016,0.011318561185464806,7.134054815634104e-10,-0.023751089736963053,0.04546742360718509,0.6214378562143785
18,Lactb2,treat,-0.5774797462109729,0.017417663289768372,1.8752800536608248e-05,0.05515761401487123,0.06307677046149131,0.38516148385161486
19,Terf1,treat,-0.46413882611841334,0.022571974609162503,5.154895137741621e-07,-0.2591163603287678,0.1080206108678682,0.015498450154984501
20,Rpl7,treat,-0.5118220071005819,0.00701256505986255,1.4388618629080097e-05,0.5568129169467895,0.018567566380622628,1.735181566872116e-05
21,Rdh10,treat,-0.36284241758281655,0.014262593956690045,4.6086664357443e-05,-0.5215447874143082,0.04681783844225187,0.00018499827500800532
22,Stau2,treat,-0.21082448806336565,0.021306407305138338,0.00017722703394287365,-0.331984287561499,0.060112860385798314,0.0001263174214784547
23,Ube2w,treat,-0.503470299011376,0.013104124915742678,2.229857227921188e-05,-0.014919975747201386,0.057637308186571,0.7946205379462054
24,Eloc,treat,-0.49426771232573546,0.01019034666003389,2.56315787371681e-05,0.32389767891818094,0.032439971828565006,0.00016131255031071273
25,Tmem70,treat,-0.6116144543862394,0.02062028628158693,7.310930714348595e-08,0.3431433590352726,0.10386307800805113,0.0015998400159984002
26,Ly96,treat,-0.3330434286418231,0.023091235431851626,0.0001814229940540837,0.20702821371004188,0.12005858016018377,0.08549145085491451
27,Pkhd1,treat,-0.10179314317149918,0.028683122779320256,0.0009047714198783411,-0.6666350793508136,0.0865017289360721,3.773140796560699e-05
28,Mcm3,treat,-0.3654963538335568,0.027346343294515935,2.3161821200761486e-05,-0.43347896668502367,0.03701657809403868,1.8053178072700172e-05
29,Paqr8,treat,-0.564418810865214,0.02159494041474656,1.6097652269790205e-06,-0.36828901150529053,0.05593846189279848,5.112148482322252e-05
