total_raw_counts,483722347.000
total_output_counts,476031179.000
total_counts_removed,7691168.000
fraction_counts_removed,0.016
total_raw_counts_in_cells,483722347.000
total_counts_removed_from_cells,7691168.000
fraction_counts_removed_from_cells,0.016
average_counts_removed_per_cell,396.370
target_fpr,0.010
expected_cells,8379.000
found_cells,19404.000
output_average_counts_per_cell,24532.631
ratio_of_found_cells_to_expected_cells,2.316
found_empties,17910.000
fraction_of_analyzed_droplets_that_are_nonempty,0.520
convergence_indicator,1.421
overall_change_in_train_elbo,12617.122
